dataset,arm_id,query_id,component_id,ret,sel,ans,cit,rar,failure_reason
hotpotqa,dense_rag,5a71231a5542994082a3e5c4,cmp-187693ee00499b41dec0052f3729fc652c48fb037da07204c3b2cbdead568fdd,1.0,1.0,0.0,0.0,0.0,
hotpotqa,dense_rag,5a712c4b5542994082a3e622,cmp-5687dc8389a105c100859792adfc1304cbba0e8df4479122e2b8f2de7855b4b2,1.0,1.0,0.5555555555555556,1.0,0.0,
hotpotqa,dense_rag,5a71419f5542994082a3e70d,cmp-a8d366cfab684d3b8f2b53f15e8b204dd47cf330831bada4c83266a88653ede5,1.0,1.0,0.5333333333333333,0.6666666666666666,0.0,
hotpotqa,dense_rag,5a7148685542994082a3e761,cmp-da761c7c173a1bfda2938bed7464b99fd0eabe120a9e1f3cad82855a0afd993b,1.0,1.0,0.3636363636363636,1.0,0.0,
hotpotqa,dense_rag,5a717d4c5542994082a3e854,cmp-250a2173a46b60ad6d2c1702cee930b4a6c38da09fb2553476c4e60b63ead9b2,1.0,1.0,0.36363636363636365,0.0,0.0,
hotpotqa,dense_rag,5a7182b65542994082a3e85b,cmp-2dc5f66a834dd985b669cd3f9c342534e5d62e7a73126598c1063d7cbaa90e1a,1.0,1.0,0.4444444444444445,1.0,0.0,
hotpotqa,dense_rag,5a719bf25542994082a3e891,cmp-49e90285b21ac9966a801761dd9e894c4d3390a18c50755ec8ec6a86ac0dc4b7,1.0,1.0,0.0,0.6666666666666666,0.0,
hotpotqa,dense_rag,5a721e0e55429971e9dc928d,cmp-2bb96d196d70fc94f25c0018dd03c06477a1d76cfbf0811c6e471d0133894eae,1.0,1.0,0.28571428571428575,0.0,0.0,
hotpotqa,dense_rag,5a7265825542997f827839a3,cmp-355d136a2114c5d0ce65990fe5e417f0a48f0ad807ceb65f15628cc2174dd027,1.0,1.0,0.2857142857142857,0.0,0.0,
hotpotqa,dense_rag,5a726ba35542997f827839c0,cmp-fa0a0bcea67c452206e169810246512bc67ef35190e06ca653ea34c69d6a625d,1.0,1.0,0.23529411764705882,0.0,0.0,
hotpotqa,dense_rag,5a7280105542994cef4bc2e4,cmp-e78dca2d3b4b1fa3b7e617b05150b7c6ea8c9bd7fecf19cd7eab81cbbe9e7422,1.0,1.0,0.2857142857142857,1.0,0.0,
hotpotqa,dense_rag,5a72a9ac5542991f9a20c55f,cmp-06244de1c500831230d4cdcf44c3db50591fdb1e54b464b78de256c7b8ac8adb,1.0,1.0,0.0,1.0,0.0,
hotpotqa,dense_rag,5a72aec45542994cef4bc3d7,cmp-323a1a6638d10a142f6ed194f378c3d6f25027d59ca3b3d8ea8be22d94c2a335,1.0,1.0,0.33333333333333337,0.0,0.0,
hotpotqa,dense_rag,5a72f0e25542991f9a20c5cf,cmp-aae4931b41ede811bbb84f7cc1796790e36fea4614689e2d9808316d4396e786,1.0,1.0,0.08695652173913045,0.6666666666666666,0.0,
hotpotqa,dense_rag,5a73830d55429908901be2da,cmp-63befcb0157a15c13c599db08db77093e7aabb07265436207cd3a0393c9ed3c0,1.0,1.0,0.3076923076923077,0.0,0.0,
hotpotqa,dense_rag,5a73b2fd55429978a71e907f,cmp-bf1bab81796d19831dea414a7297928ea253946136aba425667f2d93256cd105,1.0,1.0,0.3636363636363636,1.0,0.0,
hotpotqa,dense_rag,5a73f4f75542993a88ae2ebc,cmp-3091c6b9dfcaa20304a89e441fb73ad524c2c513ca6e829fd680d6d139946d42,1.0,1.0,1.0,1.0,1.0,
hotpotqa,dense_rag,5a74325055429979e28828b3,cmp-bff1e1931fb0004aa8523433ab35d7875f55e4271f42ddf26c298f4e3e175ded,1.0,1.0,0.0,1.0,0.0,
hotpotqa,dense_rag,5a74547755429979e2882900,cmp-5da4c81c0dbd77ae2cfcddc662a6f9978854099e84b8bc1f9b0f44ac73883c91,1.0,1.0,0.47058823529411764,1.0,0.0,
hotpotqa,dense_rag,5a74594a55429974ef308be1,cmp-b1b427359cec7f57adfc46573dbff65931bef1aeff3886e557ec7494dde881e6,1.0,1.0,0.25,1.0,0.0,
hotpotqa,dense_rag,5a74be7a55429929fddd84e4,cmp-5ecac5e6858aa4fa55636ba5423cbfb31c4c5eca4d90a6d19fd33383b58ebc57,1.0,1.0,0.0,1.0,0.0,
hotpotqa,dense_rag,5a74c6a655429974ef308c5d,cmp-5bd57c3fd375bdf5276b5002dbab0c543ed9bda8b4a2ec41e258425207572f26,1.0,1.0,0.30769230769230765,0.0,0.0,
hotpotqa,dense_rag,5a74d7685542996c70cfae0a,cmp-41cd2a4f504d22ab6b1f45560f2ec6a7eb6aaf7a0a29eafa43e85347345c2c32,1.0,1.0,0.25,0.0,0.0,
hotpotqa,dense_rag,5a755f0a5542996c70cfaee7,cmp-13502223b6cbe0c61a4b8405f36b81818ff3eaa2f4f85309baf270ba6c54da60,1.0,1.0,0.2857142857142857,0.0,0.0,
hotpotqa,dense_rag,5a7570a65542996c70cfaefd,cmp-185df1a1b29f708135451896d8ed73d538932697f6d9759e0e81e9d8c9a22818,1.0,1.0,0.07692307692307693,0.0,0.0,
hotpotqa,dense_rag,5a75fbe855429976ec32bcde,cmp-4d913dcb0fea6158b165c78bf6211aa7a458dcc2c4cd3418359459228d0961aa,1.0,1.0,0.4,1.0,0.0,
hotpotqa,dense_rag,5a76394c5542994ccc918725,cmp-06e3eb2bd39675d65843bc30d01e8a6982038e88af9d9170030515a03943c8a2,1.0,1.0,0.2857142857142857,1.0,0.0,
hotpotqa,dense_rag,5a7651825542992d0ec060a3,cmp-7dcf3a20734fdce372df679c47aaf7dcf862dd5f9a3723dcb5117a924e86c1c8,1.0,1.0,0.5333333333333333,0.0,0.0,
hotpotqa,dense_rag,5a76538d5542992db9473764,cmp-25bb6c5ddb018dacef73b68e6f0a6e261d91ca6c7fbb2bbde5bb6ac94cc096f8,1.0,1.0,0.16,0.5,0.0,
hotpotqa,dense_rag,5a7653d25542992db9473765,cmp-c627850f5e4acb8357b8b3c3b31386aec913de4ebde23e77665c8fc70c028771,1.0,1.0,0.05,0.0,0.0,
hotpotqa,dense_rag,5a76cb9b55429966f1a36bf2,cmp-27e23f4648c84f19a3b58f2688d1076ee6d3fea43fda98847f7b627f9ab20818,1.0,1.0,1.0,1.0,1.0,
hotpotqa,dense_rag,5a7717635542994aec3b71e3,cmp-6c3daa7ab2be6910689a255a65eeb1175328bf12ce8abf8231c1ed951567afe1,1.0,1.0,0.0,1.0,0.0,
hotpotqa,dense_rag,5a7730f255429972597f148c,cmp-8f9b03fdb5c13506289543fdaa8188dc7236be61618f75bee67b576fd33c5bf3,1.0,1.0,0.0,0.0,0.0,
hotpotqa,dense_rag,5a7739f25542994aec3b7234,cmp-afbdcf3a9f946e1a6e897a9fe2d43aa5b9da7667a52724bbc9680753ce9dd3dd,1.0,1.0,0.14285714285714285,0.0,0.0,
hotpotqa,dense_rag,5a775bd65542993569682d6b,cmp-db67cbb85cef648601227a25548b1448d282b43890c88347c968b84b3bf733f5,1.0,1.0,0.23529411764705882,1.0,0.0,
hotpotqa,dense_rag,5a7768cb5542993569682d88,cmp-0ec081bee49d8fc8a1fdb443ba84897828eee358f66613485bc47e055ba3acc7,1.0,1.0,0.09523809523809523,1.0,0.0,
hotpotqa,dense_rag,5a777ca855429949eeb29e6a,cmp-b7d039fa5302122a785aabf005577c0eaa37be398f1977e10439cce397983b0e,1.0,1.0,0.25,0.0,0.0,
hotpotqa,dense_rag,5a77897f55429949eeb29edc,cmp-bbf3eeddeb41328705dcf9d411d78fc621620de67217a3140b9e07f3802cf233,1.0,1.0,0.0,0.0,0.0,
hotpotqa,dense_rag,5a7793275542992a6e59df04,cmp-e91cce1cb6f8d9a0093810017e7a73db965bc7cfbe9adb03428762cb0bad84e5,1.0,1.0,0.16666666666666669,0.0,0.0,
hotpotqa,dense_rag,5a779be75542995d83181215,cmp-1c95bbea6f1eeb112b7ea11cf1fa76157d55eab7142a3602c1d9c7796515dfb8,1.0,1.0,0.13333333333333333,0.0,0.0,
hotpotqa,dense_rag,5a77b6535542995d83181274,cmp-0deeb2e13014d244a1f357048cc780087813460df703a5b6f339ba4fdb20fad6,1.0,1.0,0.0,0.0,0.0,
hotpotqa,dense_rag,5a77c74155429967ab105291,cmp-0640079ee2dc8ac45e317475126e9883ce9428ae85fea8623e8810530bdcabf0,1.0,1.0,0.5,0.0,0.0,
hotpotqa,dense_rag,5a77d4eb55429949eeb29f74,cmp-2a1b06747d85082f1f95ecaf5297d5472d70bf3a0e85625a1749593c049169b6,1.0,1.0,0.28571428571428575,0.0,0.0,
hotpotqa,dense_rag,5a78a862554299148911f8fe,cmp-5b1bc5083f0fbcc98bd89f3ce5f51b189b2e1e92645f7d07dd6713a7b361a5ba,1.0,1.0,0.0,1.0,0.0,
hotpotqa,dense_rag,5a78b209554299148911f93e,cmp-5f6721bc11c3ccf184718e2dcbb97a8ccafe11ab704f39525845648e48e97478,1.0,1.0,0.13793103448275865,0.0,0.0,
hotpotqa,dense_rag,5a79186f55429907847277af,cmp-cf3f135865a8c17de190461ab6ca4740e1d3d59ff96529181762e71e228a3907,1.0,1.0,0.0,1.0,0.0,
